date,closing
2001-11-12,66.5862
2001-11-13,67.8299
2001-11-14,67.9717
2001-11-15,68.0361
2001-11-16,67.8299
2001-11-19,68.5645
2001-11-20,68.0683
2001-11-21,67.7332
2001-11-23,68.5259
2001-11-26,68.9512
2001-11-27,68.4808
2001-11-28,67.2435
2001-11-29,67.9459
2001-11-30,67.9008
2001-12-03,67.3273
2001-12-04,68.2165
2001-12-05,69.7631
2001-12-06,69.5698
2001-12-07,69.0478
2001-12-10,67.9524
2001-12-11,67.7655
2001-12-12,67.7912
2001-12-13,66.7408
2001-12-14,66.9599
2001-12-17,67.6366
2001-12-18,68.1457
2001-12-19,68.5452
2001-12-20,67.9781
2001-12-21,68.281
2001-12-24,68.2616
2001-12-26,68.5452
2001-12-27,69.0285
2001-12-28,69.0027
2001-12-31,68.2359
2002-01-02,68.6353
2002-01-03,69.2669
2002-01-04,69.6987
2002-01-07,69.2476
2002-01-08,69.0156
2002-01-09,68.687
2002-01-10,68.7707
2002-01-11,68.1263
2002-01-14,67.6946
2002-01-15,68.1585
2002-01-16,67.0566
2002-01-17,67.7268
2002-01-18,67.0566
2002-01-22,66.5668
2002-01-23,67.0889
2002-01-24,67.3273
2002-01-25,67.3981
2002-01-28,67.3853
2002-01-29,65.4585
2002-01-30,66.2382
2002-01-31,67.237
2002-02-01,66.7602
2002-02-04,65.1105
2002-02-05,64.8463
2002-02-06,64.4661
2002-02-07,64.2792
2002-02-08,65.2394
2002-02-11,66.1738
2002-02-12,65.9096
2002-02-13,66.5862
2002-02-14,66.4702
2002-02-15,65.742
2002-02-19,64.4983
2002-02-20,65.3747
2002-02-21,64.363
2002-02-22,64.8914
2002-02-25,66.0578
2002-02-26,66.0578
2002-02-27,66.1158
2002-02-28,65.9354
2002-03-01,67.4303
2002-03-04,68.745
2002-03-05,68.281
2002-03-06,69.2862
2002-03-07,68.9769
2002-03-08,69.3829
2002-03-11,69.6149
2002-03-12,69.4602
2002-03-13,68.7901
2002-03-14,68.7321
2002-03-15,69.5118
2002-03-18,69.4731
2002-03-19,69.7566
2002-03-20,68.6611
2002-03-21,68.7643
2002-03-22,68.4799
2002-03-25,67.4782
2002-03-26,67.8789
2002-03-27,68.2408
2002-03-28,68.4088
2002-04-01,68.3572
2002-04-02,67.7755
2002-04-03,67.1098
2002-04-04,67.168
2002-04-05,66.9547
2002-04-08,67.1227
2002-04-09,66.6768
2002-04-10,67.4329
2002-04-11,65.8431
2002-04-12,66.2761
2002-04-15,65.772
2002-04-16,67.3102
2002-04-17,67.1809
2002-04-18,67.0839
2002-04-19,67.1292
2002-04-22,66.0887
2002-04-23,65.6815
2002-04-24,65.2162
2002-04-25,65.1192
2002-04-26,64.2144
2002-04-29,63.5682
2002-04-30,64.2532
2002-05-01,64.8284
2002-05-02,64.725
2002-05-03,64.0658
2002-05-06,62.825
2002-05-07,62.6375
2002-05-08,64.99
2002-05-09,64.0593
2002-05-10,62.9865
2002-05-13,64.1627
2002-05-14,65.5199
2002-05-15,65.171
2002-05-16,65.5975
2002-05-17,66.1081
2002-05-20,65.2356
2002-05-21,64.5182
2002-05-22,64.8866
2002-05-23,65.5522
2002-05-24,64.7573
2002-05-28,64.2015
2002-05-29,63.8009
2002-05-30,63.6263
2002-05-31,63.775
2002-06-03,62.1916
2002-06-04,62.1981
2002-06-05,62.7668
2002-06-06,61.5324
2002-06-07,61.4355
2002-06-10,61.6229
2002-06-11,60.6017
2002-06-12,61.0089
2002-06-13,60.3691
2002-06-14,60.2334
2002-06-17,61.9589
2002-06-18,62.0236
2002-06-19,60.996
2002-06-20,60.1817
2002-06-21,58.9537
2002-06-24,59.167
2002-06-25,58.1782
2002-06-26,58.0554
2002-06-27,59.0765
2002-06-28,59.0248
2002-07-01,57.7646
2002-07-02,56.5431
2002-07-03,56.8985
2002-07-05,58.9925
2002-07-08,58.2881
2002-07-09,56.8533
2002-07-10,54.9209
2002-07-11,55.3346
2002-07-12,54.9791
2002-07-15,54.7723
2002-07-16,53.7641
2002-07-17,54.0743
2002-07-18,52.6137
2002-07-19,50.6296
2002-07-22,48.9752
2002-07-23,47.6567
2002-07-24,50.3905
2002-07-25,50.0997
2002-07-26,50.9463
2002-07-29,53.6995
2002-07-30,53.9386
2002-07-31,54.4685
2002-08-01,52.8658
2002-08-02,51.6507
2002-08-05,49.8799
2002-08-06,51.3728
2002-08-07,52.4069
2002-08-08,54.126
2002-08-09,54.3264
2002-08-12,54.0355
2002-08-13,52.8722
2002-08-14,55.005
2002-08-15,55.6448
2002-08-16,55.5608
2002-08-19,56.8727
2002-08-20,56.0842
2002-08-21,56.8016
2002-08-22,57.603
2002-08-23,56.2975
2002-08-26,56.7241
2002-08-27,55.9356
2002-08-28,54.9274
2002-08-29,54.9274
2002-08-30,54.8305
2002-09-03,52.5556
2002-09-04,53.4926
2002-09-05,52.6395
2002-09-06,53.525
2002-09-09,54.0679
2002-09-10,54.4685
2002-09-11,54.4685
2002-09-12,53.1308
2002-09-13,53.3052
2002-09-16,53.3828
2002-09-17,52.3293
2002-09-18,52.0902
2002-09-19,50.5262
2002-09-20,50.649
2002-09-23,49.951
2002-09-24,49.085
2002-09-25,50.3194
2002-09-26,51.2436
2002-09-27,49.5835
2002-09-30,48.8628
2002-10-01,50.817
2002-10-02,49.6289
2002-10-03,49.09
2002-10-04,47.9928
2002-10-07,47.0774
2002-10-08,47.8889
2002-10-09,46.5839
2002-10-10,48.22
2002-10-11,50.1029
2002-10-14,50.4664
2002-10-15,52.8557
2002-10-16,51.5897
2002-10-17,52.7388
2002-10-18,53.0505
2002-10-21,53.9659
2002-10-22,53.3946
2002-10-23,53.7582
2002-10-24,52.9336
2002-10-25,53.8491
2002-10-28,53.4011
2002-10-29,52.9206
2002-10-30,53.44
2002-10-31,53.1544
2002-11-01,54.0698
2002-11-04,54.5113
2002-11-05,54.9333
2002-11-06,55.4527
2002-11-07,54.1932
2002-11-08,53.7192
2002-11-11,52.609
2002-11-12,53.018
2002-11-13,53.0115
2002-11-14,54.323
2002-11-15,54.6606
2002-11-18,54.0958
2002-11-19,53.8815
2002-11-20,54.9333
2002-11-21,56.115
2002-11-22,55.9202
2002-11-25,56.0565
2002-11-26,54.8943
2002-11-27,56.4331
2002-11-29,56.4331
2002-12-02,56.1734
2002-12-03,55.3488
2002-12-04,55.18
2002-12-05,54.5178
2002-12-06,54.8619
2002-12-09,53.6413
2002-12-10,54.3945
2002-12-11,54.4334
2002-12-12,54.2321
2002-12-13,53.505
2002-12-16,54.7645
2002-12-17,54.3295
2002-12-18,53.6153
2002-12-19,53.2128
2002-12-20,53.901
2002-12-23,53.9984
2002-12-24,53.7062
2002-12-26,53.5374
2002-12-27,52.6902
2002-12-30,52.9383
2002-12-31,52.9644
2003-01-02,54.7331
2003-01-03,54.707
2003-01-06,55.934
2003-01-07,55.5685
2003-01-08,54.8049
2003-01-09,55.8688
2003-01-10,55.8688
2003-01-13,55.7969
2003-01-14,56.1168
2003-01-15,55.3205
2003-01-16,55.0986
2003-01-17,54.3284
2003-01-21,53.4735
2003-01-22,52.9187
2003-01-23,53.4604
2003-01-24,51.9005
2003-01-27,51.0585
2003-01-28,51.7243
2003-01-29,52.0832
2003-01-30,50.9019
2003-01-31,51.5742
2003-02-03,51.8548
2003-02-04,51.1238
2003-02-05,50.8562
2003-02-06,50.543
2003-02-07,50.0339
2003-02-10,50.4124
2003-02-11,50.0078
2003-02-12,49.3877
2003-02-13,49.3159
2003-02-14,50.3798
2003-02-18,51.3653
2003-02-19,51.0064
2003-02-20,50.5233
2003-02-21,51.1956
2003-02-24,50.2492
2003-02-25,50.6148
2003-02-26,49.9686
2003-02-27,50.5625
2003-02-28,50.7975
2003-03-03,50.4124
2003-03-04,49.6423
2003-03-05,50.1317
2003-03-06,49.6684
2003-03-07,50.0796
2003-03-10,48.7873
2003-03-11,48.3761
